Sense	Concepticon_ID	Concepticon_Gloss
irgendein, jeder, niemand	3887	NOBODY
Bischofsamt		
Bischof		
Brief	1612	LETTER
früh	672	EARLY
Gesandter sein		
längst, eher, früher		
Vorfahre		
heilig	1702	HOLY
Lauterkeit, Echtheit, Reinheit		
heilig	1702	HOLY
groß, gewaltig	1202	BIG
Erde, Land, Erdreich, Erdboden	1228	EARTH (SOIL)
von irdischer Abkunft, von der Erde stammend, irdisch		
irdisch, irden		
Bote, Gesandtschaft, Abgesandter		
Irre, Irrlehre, Irrtum		
irre geführt, irre, verführt		
Irrlehre, Irre, Irrtum		
irreführen, irre machen, verführen, Verführer		
fragen, fordern	1309	ASK (INQUIRE)
sich scheuen vor		
Mutter	1216	MOTHER
Eid		
oder, wo nicht, sonst, wenigstens	1014	OR
immer, jederzeit	1676	ALWAYS
Evangelium, frohe Botschaft		
Evangelist		
das Evangelium verkünden		
Evangelium, frohe Botschaft		
ewig		
Schande, Schmach		
schändlich handeln		
schändlich		
Segen, Spende		
Zeit, Ewigkeit	892	TIME
Dank, Danksagung		
Erz, Erzmünze		
Scheu, Achtung, Ehre		
Erzschmied, Metallarbeiter		
Ewigkeit		
ewig		
sondern, aber, geh	3843	BUT
gehen, fahren, ziehen	1455	PULL
aber	3843	BUT
Essig		
Frucht, Ertrag	1507	FRUIT
kornlos, fruchtlos, unfruchtbar		
Acker	212	FIELD
all, ganz, völlig	2277	WHOLE
Salbenbüchse		
Brandopfer		
gesamt		
insgesamt, gesamt, zusammen	2482	TOGETHER
Gesamtheit der Menschen, alle Menschen		
wachsen, sich nähren, aufwachsen	479	GROW
alldarbend, an allem Mangel leidend, ganz arm		
Allod, Vollgut, Gut	1035	GOOD
Alb, Dämon		
alt	1229	OLD
Alter	1789	AGE
Alter	1789	AGE
Menschenalter, Zeit	892	TIME
alt	1229	OLD
Elle		
Öl	1484	OIL (ORGANIC SUBSTANCE)
Ölbaum		
Öl	1484	OIL (ORGANIC SUBSTANCE)
Gott	3231	DEITY
Tempel, Hain		
andere	197	OTHER
Erle		
Ahle		
Erle		
gemästet		
Erle		
außer		
anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder Abkunft, fremd	109	FOREIGN
anders	2504	DIFFERENT
anders gebildet, allegorisch, bildlich, anders gemeint		
andere	197	OTHER
mästen		
Eifer		
eifern, eifern für		
anderswo		
anderswohin		
anderswoher		
andere	197	OTHER
völlig		
völlig, vollständig, ganz und gar		
von allen Seiten		
allwirkend, vollkommen		
Redlichkeit		
redlich		
überhaupt, denn		
all, jeder, ganz, viel	1198	MANY
allmächtig, Allmächtiger, Allwaltender		
altern, alt werden		
alt	1229	OLD
tapfer, tätig	3	BRAVE
amen		
Schulter	1482	SHOULDER
denn, nun		
darauf, außerdem, an, auf, in, über	57	ATOP
Ahne, Vorfahre		
hinzufügen zu, fortfahren		
entbieten, befehlen, anordnen	1998	COMMAND
Gebot, Befehl		
antrinken, betrinken		
Anvertrautes, Empfehlung, Überlieferung		
übergeben, überliefern, verpachten, empfehlen, anempfehlen, geben	1447	GIVE
kommen, künftig sein	1446	COME
besitzen, innehaben	684	OWN
in der Heimat befindlich, daheim, zuhause		
anrufen, bitten, schelten	1828	ASK (REQUEST)
die Bekleidung anlegen, anziehen	158	PUT ON
aufhaspeln		
niederlegen		
sich niederbeugen, sich neigen, sich bücken		
beruhigen, erquicken		
auferlegen, hinzufügen	2882	ADD
beschweren		
plötzlich, sogleich	2920	SUDDENLY
sich niederlegen, zu Tisch legen, lagern	215	LIE DOWN
Lesung		
lesen	724	READ
Auflegung		
einlegen, auflegen, beibringen		
verhindern, hindern, aufhalten, abhalten	1550	PREVENT
Verborgenheit		
im geheimen, heimlich, verborgen		
verborgen		
auf gleiche Weise, gleichermaßen		
ähnlich, gleich	1558	SIMILAR
vergewaltigen, rauben, kränken, quälen, erpressen, misshandeln, beleidigen, schmähen, Gewalt antun, Unrecht antun	3204	INSULT
Übermacht, Misshandlung		
aufschreiben, sich in die Steuerlisten eintragen lassen		
versteckte Meinung, Vermutung		
atmen, hauchen	1407	BREATHE
benennen, nennen, rufen	180	CALL BY NAME
Mut fassen, sich erkühnen, wagen	1779	DARE
durch Zwang veranlassen, nötigen, zwingen		
erneuern, sich erneuern, erneuert werden		
Erneuerung		
bedrängen, bedrücken	401	OPPRESS
Ruhe, Beruhigung	3458	SILENCE
zur Ruhe kommen		
hinzutreten zu, hinzukommen		
Lästerung, Schmährede		
verleumden, verlästern, schmähen		
beleben, erwecken, lebendig machen		
still werden, nachlassen, verstummen		
sichtbar		
sichtbar		
verstummen, still werden		
einschlafen, entschlummern, entschlafen	1106	FALL ASLEEP
Anfang	1557	BEGINNING
anfangen, anheben, beginnen	1806	BEGIN
aufzimmern, daraufbauen, aufbauen		
zwingen		
bedrängen, drängen, hinzutreten, zudrängen		
Fluch, Verfluchter		
unterjochen, in Dienstbarkeit bringen, dienstbar machen		
trösten, erquicken		
zukünftig		
beflecken, tadeln		
Billigkeit, Ehrbarkeit		
ehrbar, redlich		
entlang, über ... hin, auf ... hin		
Ende	742	END (OF SPACE)
Gegenkauf, Lösegeld		
Tadel		
Antwort, Verteidigung		
Bekenntnis		
Gegenlohn, Vergeltung		
Abend	1629	EVENING
feindlich		
widrig, entgegengesetzt, feindlich, im Gegenteil		
Entgegennahme, Empfang, Empfangen, Annahme	694	GET
entgegennehmend, festhaltend		
angenehm		
Annahme, Aufnahme, Erhebung		
verabscheuenswert, verabscheuenswürdig		
Entgegenstehender, Widersacher		
Gegner vor Gericht, Widersacher		
nüchtern, verständig, vernünftig		
Antlitz, Gesicht	1560	FACE
offen, freimütig	3235	OPEN (STATE)
offen, offenbar, öffentlich	3235	OPEN (STATE)
Gegenwert, Preis	657	PRICE
Antwort		
Notdurft, Unterhalt, Sold		
Angesicht, Antlitz, Gesicht	1560	FACE
Antlitz, Gesicht, Angesicht	1560	FACE
Amt, Dienst	2430	OFFICE
leisten, dienen, besorgen, darreichen	3648	SERVE (SOMEONE)
Diener		
schelten, bedrohen, in Verlegenheit geraten, tadeln, anfahren	1192	THREATEN
entbinden, lösen, auflösen, erklären, losbinden	352	UNTIE
entbunden werden, gelöst werden		
Ende	742	END (OF SPACE)
erwidern, antworten, entgegnen	1275	ANSWER
bekennen, preisen, erklären	2022	ADMIT
entkleiden, ausziehen	1755	UNDRESS
gehorchen, erhören, erhört werden	1635	OBEY
nachforschen, prüfen, untersuchen	2010	INVESTIGATE
Enthüllung, Offenbarung		
enthüllt, unverhüllt		
enthüllen, abdecken, entblößen, offenbaren		
Geist	53	SPIRIT
endlos		
anders, sonst, entweder	2504	DIFFERENT
enden, endigen	1928	CEASE
entlassen	1095	LET GO OR SET FREE
scheiden, abscheiden, entlassen werden, aufgelöst werden, sich auflösen, sich losmachen		
annehmen, aufnehmen, genießen, empfangen, wieder empfangen, erhalten	694	GET
entsagen, Abschied nehmen, entlassen, zusammenkommen mit, sprechen mit, sprechen, Lebewohl sagen	1623	SPEAK
entgegenrennen, streiten	3302	QUARREL (VERB)
auf etwas sehen, berücksichtigen, achtgeben, ansehen, in Betracht ziehen, beachten	1650	WATCH
widersprechen, bekämpfen, bestreiten		
bestritten		
darbringen, opfern		
scheuen, Rücksicht nehmen		
widerleglich, bestreitbar		
entgegenspeien, ausspeien, verachten, verwerfen	2715	DESPISE
Darbietung, Beistand, Darreichung		
versehen, darreichen		
entgegenstehen, widerstehen, widerstreiten, widerstreben		
Unwillen zeigen, widerspenstig sein, anstarren, murren		
anhangen, sich annehmen, dienen, helfen, beistehen	1897	HELP
einfallen, erinnern, gedenken, sich besinnen, überlegen, bedenken, sich entsinnen		
Gegenwart, Angesicht, Person, Gesicht	1560	FACE
gegenüber	2670	ACROSS
sofort	2916	INSTANTLY (IMMEDIATELY)
gegenwärtig		
entkleiden		
widersprechen, antworten	1275	ANSWER
widerstreiten, ankämpfen, entgegenkämpfen		
zwingen		
Sold, Kosten	21	TASTE (SOMETHING)
Balken		
Götter		
Halbgötter		
gnädig, günstig		
Freude, Dank, Gnade, Gunst, Gnadengabe	2524	JOY
kleiner Ase, kleiner Gott		
Ase, Gott	3231	DEITY
Riese		
andere, zweite	197	OTHER
Verschiedenheit		
anders	2504	DIFFERENT
verschieden	2504	DIFFERENT
Spitze, Ende	743	END (OF TIME)
Geist, Seele	811	SOUL
Apostolat		
Apostel, Bote, Abgesandter		
Apfel	1320	APPLE
Axt	677	AXE
Aar, Adler	1905	EAGLE
Arabien		
arbeiten, dulden, kämpfen für	1086	WORK (ACTIVITY)
Arbeit, Drangsal, Hemmung, Bedrängnis	984	WORK (LABOUR)
Erbe, Erbschaft		
Erbnehmer, Erbe		
Erbe		
Erbin		
Grenzwall		
Dienstag	1695	TUESDAY
Feigling, Elender		
feige, elend	3812	COWARDLY
Pfeil	977	ARROW
Pfeil	977	ARROW
Pfeil	977	ARROW
Pfeil	977	ARROW
pflügen, ackern	1921	PLOUGH
Dienstag	1695	TUESDAY
Arche, Kasten, Futteral, Beutel, Geldkasten	2951	POUCH
Erzengel		
Barmherzigkeit		
Almosen, Barmherzigkeit		
barmherzig		
Barmherzigkeit, Almosen		
sich erbarmen, bemitleiden		
arm, beklagenswert, bemitleidenswert	1674	POOR
Arm	1673	ARM
sicher		
sicher, gewiss	509	CERTAIN
Spezereien, Gewürze		
Wohnsitz, Aufenthalt		
bereit, flink		
umsonst, unentgeltlich, ohne Ursache, vergebens	1765	IN VAIN
Sommer, Erntezeit, Ernte	1342	SUMMER
Asien		
Eselsmühle, Mühlstein		
Esel, Eselin	1862	DONKEY
Äsche		
Esche, Speer	945	SPEAR
Mietling, Tagelöhner		
Lohn, Zins	1122	WAGES
Espe		
Ass		
Sicherheit, Gewissheit		
Ast, Streu von Laub, Zweig, Palmzweig	1531	BRANCH
von, bei, an, zu, unter, auf	1485	BELOW OR UNDER
Jahr	1226	YEAR
zeigen, erscheinen	1039	SHOW
bringen, herbeibringen, darbringen, hinzutragen	692	BRING
herunterziehen		
fallen in, zufallen, fallen	1280	FALL
einlaufen, landen	1922	LAND (DESCEND)
Zugang		
hinzugehen, kommen, hinzukommen	1446	COME
Eingang		
zugänglich		
vollends in Ordnung bringen, wiederherstellen, einrichten		
hingeben, übergeben, geben, darreichen	1447	GIVE
anhalten, nähern	2880	HALT (STOP)
herabheben, herabnehmen		
hinabhängen, hinablassen, hinunterlassen, niederlassen		
herzurufen		
Saat, Saatfeld	714	SEED
essen lassen		
gewähren, zuerkennen		
hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen	1456	THROW
berufen		
Verrat		
Verräter		
dabeiliegen, vorliegen, vorhanden sein		
herannahen		
aufnehmen, versetzen, annehmen		
schlecht	1292	BAD
hinzulaufen, hinzurennen		
sehen auf, sich in Acht nehmen, sich hüten		
darstellen		
anfassen, anrühren, berühren, angreifen	1892	TOUCH
hinzueilen		
dabeistehen, eintreten, hinzukommen, hinzutreten, zugegen sein	749	ENTER
hinabsteigen	2014	GO DOWN (DESCEND)
Vater, Vorfahre	1217	FATHER
berühren, anrühren	1892	TOUCH
herbeiziehen, herbeiführen, herbeibringen, hereinführen, bringen	692	BRING
heranziehen, herbeiziehen, herzuziehen		
schlecht	1292	BAD
hinwerfen, hinstrecken, werfen	1456	THROW
hinzuwälzen, hinwälzen		
zuwenden, zurückkehren	581	COME BACK
da sein, zur Hand liegen		
Beobachten, Beobachtung, Wahrnehmung		
beobachten		
herbeirufen		
Adel		
edel		
edel		
Jahr	1226	YEAR
aber doch, aber ja, aber nun, denn, also, nun, und	1577	AND
Seligkeit		
selig preisen		
vom Schicksal begabt, selig		
beglückt, begnadigt, beseligt, selig		
Habe, Gut	1035	GOOD
allerdings, wohl, vielleicht, etwa	2278	PERHAPS
Augentür, Fenster	1375	WINDOW
zeigen	1039	SHOW
Auge	1248	EYE
Lärm	1182	NOISE
lärmen, schreien	715	SHOUT
Ofen	859	STOVE
Ochse, Rind		
Ochse, Rind		
höher, erhaben, vorzüglicher		
Glück	2941	HAPPINESS
denn, nämlich, aber, auch, und	1577	AND
sich mehren, sich vermehren		
sich mehren, dargebracht werden		
Sand, Kies	671	SAND
Meer	1474	SEA
Grabdenkmal, Grab, Grabmal	1773	GRAVE
sandig, kiesig		
Schweißtuch		
Krug	270	JUG
Garten	586	GARDEN
Landmann, Winzer		
Garten	586	GARDEN
weibliches Schaf, Mutterschaf	1345	EWE
glänzend, hell, morgendlich	679	BRIGHT
Ohrring	770	EARRING
Ohr	1247	EAR
Osten	1877	EAST
Ostgoten		
öde, kinderlos, unfruchtbar, wüst, verlassen	1752	LEAVE
Wüste, Einöde	3687	DESERT
Großvater	1383	GRANDFATHER
Schafherde		
Au		
Glück, göttlicher Schutz	2941	HAPPINESS
gut	1035	GOOD
danken, preisen	2412	THANK (SOMEBODY)
Dank, Danksagung, Gnade		
Schafstall		
Großmutter	1496	GRANDMOTHER
aRune		
leicht, gern	1052	LIGHT (WEIGHT)
Leichtigkeit, Vergnügen, Lust, Annehmlichkeit, zRune	2960	LONGING (WISH)
leicht, erträglich	1052	LIGHT (WEIGHT)
Asche	646	ASH
ungesäuertes Brot		
b, Abkürzung für 2		
wenn		
Bett	1663	BED
Kampf		
Wohnung		
Bank	2584	BENCH
Baum	906	TREE
beide		
wenn		
zwingen, nötigen		
Bär	1820	BEAR
Maulbeerbaum		
tragen, leiden, erleiden, gebären, ertragen	700	CARRY
Berge		
Gebirgsgegend, Berggegend, Gebirge	2123	MOUNTAIN RIDGE
bergig, gebirgig		
bergen, bewahren, erhalten	1997	PRESERVE
Berge		
Berg	639	MOUNTAIN
hell, glänzend, deutlich, offen	679	BRIGHT
Helle, Offenbarung, Klarheit, Verkündigung		
Erscheinung		
offenbaren		
hell, offenbar, deutlich	679	BRIGHT
Birke	1855	BIRCH
bitter	887	BITTER
Bitterkeit		
bitter	887	BITTER
beide		
Pferd mit Blesse		
Balgbersten		
Balg, Schlauch, Tasche	2468	BAG
weiß	1335	WHITE
Salbe, Balsam	1926	OINTMENT
kühn, freimütig		
Kühnheit, Freimut, Freimütigkeit, Unerschrockenheit		
kühn sein, wagen	1779	DARE
geschwollen, kühn		
Unglück, Übel	56	BAD LUCK
böse, übel	45	EVIL
böse, übel	45	EVIL
Bosheit		
Pein, Strafe, Folter, Qual		
martern, quälen, plagen	1952	TORTURE
Band	2969	RIBBON
Gefangener, Gebundener	1072	PRISONER
Zeichen	1720	SIGN
ein Zeichen geben, Wink geben, andeuten, bezeichnen	180	CALL BY NAME
Zeichen, verabredetes Zeichen	1720	SIGN
Schlag, Wunde, eiternde Wunde, Geschwür	1109	WOUND
Bannweite		
Scheuer, Scheune	3657	GRANARY
Mann	1554	MAN
Nichtgrieche, Barbar, Ausländer, Fremder	791	STRANGER
Bart	678	BEARD
Riese		
Gerste		
von Gerste bereitet, gersten, Gersten...		
Busen, Schoß, Brust	1592	CHEST
Kind	2099	CHILD
bekindet		
Kindlein, Kindchen, Knäblein		
kindliches Wesen, Kinderei		
Kindheit		
kindlich, kindisch		
Barsch	2966	PERCH (FISH)
fromm verehren, verehren, kindlich ehren	257	WORSHIP
bar, bloß		
Beere	904	BERRY
Nutzen, Vorteil	2929	BENEFIT
gut, bessere	1035	GOOD
bessere		
besser werden		
Wohnung		
wohnen, bewohnen	363	DWELL (LIVE, RESIDE)
Gebieter		
fegen	230	SWEEP
Ring	1374	RING
blasen	176	BLOW (WITH MOUTH)
Blase, Beule	1746	BLADDER
Geborener		
geboren		
Brett	1227	BOARD
Bord, Rand	2989	FRINGE
Bürger	1032	CITIZEN
bergen		
Turm, Burg, Stadt	1391	TOWN
Stadtmauer		
Lust	2960	LONGING (WISH)
Wind	960	WIND
Bürste	1821	BRUSH
Bürzel		
Bürde, Last	1679	LOAD
getragen		
Bosheit, List, Betrug		
stoßen, schlagen, werfen	1456	THROW
stumm, taub, dumm, dumpf	1518	STUPID
Hütte, Bau	1678	HUT
leeren, entkräften, entblößen		
Streit		
warten, erwarten	1590	WAIT (FOR)
Sauerteig, Biestmilch		
Gesäuertes, Gesäuertsein		
säuern		
gesäuert		
beißen	1403	BITE
Streitaxt, Bär	1820	BEAR
Recht	1062	LAW
Birkenreis, bRune		
Eber	3154	WILD BOAR
Gebärende, Mutter	1216	MOTHER
Eltern	505	PARENTS
um, herum, an, in, innerhalb, inbetreff, über, gemäß, bei, nach, betreffs, zu	1685	AFTER
außer sich geraten über, sich entsetzen, heftig werden		
trachten nach, sich bemühen		
hinzufügen	2882	ADD
sich vermehren, zunehmen	1041	INCREASE
Lager	1105	CAMP
bergen, zur Stadt machen, befestigen		
umbinden, umwickeln		
Bitte, Gebet, Aufforderung		
Bettler		
bitten	1828	ASK (REQUEST)
bitten, beten, betteln	1828	ASK (REQUEST)
verurteilen	484	CONDEMN
Übervorteilung		
übervorteilen		
Übervorteilung		
umgürten		
Gehege, Garten	586	GARDEN
finden, antreffen, auffinden	719	FIND
mit einem Graben umgeben		
üble Nachrede		
prahlen, verleumden	101	BOAST
Prahler, streitsüchtiger Mensch		
verlachen, verspotten, auslachen		
umdrängen		
woran		
zugleich aber auch		
mit Küssen bedecken		
Gesetz	1062	LAW
auferlegen		
übriglassen		
Überrest, Rest		
belecken, ablecken		
verspotten		
aufspürbar, erforscht, begreiflich		
bleiben	987	REMAIN
verlassen, zurücklassen, hinterlassen	1752	LEAVE
schwellen	1573	SWELL
Bilsenkraut		
Beschneidung		
beschneiden		
verhöhnen, verspotten		
dürfen, erlaubt sein		
Binde, Band	2969	RIBBON
binden	1917	TIE
wegnehmen, stehlen	713	STEAL
auskundschaften, ausspionieren, ausforschen		
überfallen		
berauben, ausziehen	1755	UNDRESS
Gefahr	1810	DANGER
gefährdet		
umringen, herumlaufen, durchstreifen, umdrängen, umgeben, umherlaufen		
Murren, Verleumdung		
murrend reden, murren		
Nachstellung, Anschlag		
leise sprechen, sich verschwören, beschließen		
umsehen, ansehen, bemerken, sorgen für, sich vorsehen, erkennen, betrachten	2893	NOTICE (SOMETHING)
umgeben		
Befleckung		
besudeln, beflecken		
besudelt werden, befleckt werden, verunreinigt werden		
herumsitzen, herumwohnen, umwohnen, nahe wohnen		
schaben, scheren, Haare abschneiden	1532	SHEAR
umleuchten		
bestreichen, beschmieren, aufstreichen		
zuvorkommen, zuvoreilen		
bespeien, anspeien		
herumstehen, umringen		
anstoßen, anprellen		
Anstoß		
ringsum		
geschäftig		
abwischen, abtrocknen	1454	WIPE
beschwören		
umherführen, umherziehen, durchziehen, mitführen, durchwandern		
bedenken, überlegen		
nachher, später, während, als, sobald als, nachdem, da	1685	AFTER
herbeilaufen, vorauslaufen, hinzulaufen		
abwaschen, waschen	1453	WASH
bieten, entbieten		
beugen, sich beugen		
Gewohnheit		
gewohnt		
Tisch, Platte	1775	TABLE
umwinden, umgeben, umkleiden		
vermeiden		
umwinden, einwickeln, umwickeln, in Windeln wickeln	1113	WRAP
sich erfreuen, sich vergnügen		
weiß, glänzend	1335	WHITE
sich vermischen mit, mischen	2017	MIX
Fackel, Flamme	889	FLAME
bloß		
abschaffen, aufheben	371	PICK UP
schwach, kraftlos	1601	WEAK
farbig		
Wohlwollen, Güte, Mitleid, Erbarmen		
Erbarmen, Mitleid		
barmherzig sein, sich erbarmen, Mitleid hegen		
dem Guten zugetan, barmherzig, fromm, gütig, mild, mitleidig		
blasen	176	BLOW (WITH MOUTH)
Fackel, Feuer	221	FIRE
versengen, ätzen		
blasen, schnauben	176	BLOW (WITH MOUTH)
Blasen, Schnauben	176	BLOW (WITH MOUTH)
schlagen	2133	STRIKE OR BEAT
blenden		
erblinden, blind werden		
blind	1653	BLIND
Blume, Lilie	239	FLOWER
Opfer	1103	SACRIFICE
Verehrer		
verehren, opfern	257	WORSHIP
Verehrung		
Verehrung, Gottesverehrung		
Blut	946	BLOOD
blutflüssig		
blond		
zerreiben		
Bogen	994	BOW
Buchstabe, Schrift	1024	CHARACTER
Schriftgelehrter, Schreiber		
Nutzen	2929	BENEFIT
nützen, bessern		
Braue, Zwinkern, Blick	1655	BLINK
Breite	2536	BREADTH
breiten		
strahlen, glänzen		
breit	1243	WIDE
Ringen, Ringkampf, Kampf		
brüllen		
brüllen		
Feuerbrand, Brand		
Brand		
Schwert		
verbrennen	141	BURN (SOMETHING)
glühende Kohle		
braten	991	FRY
Brot	1368	BREAD
schmoren		
wallen, sieden	792	BOIL (OF LIQUID)
Brettchen, Schemel		
Zügel		
bringen, führen machen	692	BRING
brechen, zerstören, kämpfen, ringen, zerbrechen, vernichten	681	DESTROY
brennen	1428	BURNING
Fieber	1534	FEVER
bersten, brechen	680	BREAK (DESTROY OR GET DESTROYED)
Brett	1227	BOARD
Brot	1368	BREAD
brühen		
Hose	809	TROUSERS
Bruder	1262	BROTHER
Brüder		
brüderlich		
Bruderliebe		
schwingen, bewegen	765	MOVE
Brocken		
Brocken		
gebrauchen, brauchen, anwenden	2339	NEED (SOMETHING)
gebrochen werden		
brauchbar		
Brustharnisch, Brünne		
Brunnen, Quelle, Born	954	WELL
braun, glänzend	2409	BROWN
Brennen, Brand	1428	BURNING
Bersten		
Bürste, Striegel	1821	BRUSH
sprossen		
Brust,, Herz, Gemüt	1223	HEART
Spross	3358	SPROUT (SHOOT)
knospen		
Knospe	1684	BUD
Brühe		
Brautführer, Bräutigam, Hochzeiter, Brautgemach	3282	GROOM
Neuvermählte, Schwiegertochter, junge Frau	1057	DAUGHTER-IN-LAW
sticken		
Knolle, Schwellung		
kaufen, verkaufen	1571	SELL
Bauch	1251	BELLY
Bulgar		
gebunden werden		
Gebäude	3396	BUILDING
Scheit		
Gebot		
feines Linnen, feine Leinwand		
Soldat	1941	SOLDIER
vergleichen	3429	COMPARE
Vergleich		
weinen	1839	CRY
d, Abkürzung für 4		
sich ereignen, passen		
säugen	2472	SUCKLE (BREASTFEED, NURSE)
tags		
Tag, dRune	1225	DAY (NOT NIGHT)
Teig		
Teilnahme, Gemeinschaft, Mine, Pfund		
teilen, einem zuteilen, mitteilen	1119	DIVIDE
Teil, Anteil	779	PART
Besessener		
zu Tal, abwärts, nieder, herab, hinunter, hinab	1326	DOWN
unten	721	LOW
von unten, unten	721	LOW
Grube, Schlucht, Tal	2539	PIT (POTHOLE)
dämmen		
Damm		
Dänlein		
Däne		
Däne		
verheimlichen	602	HIDE (CONCEAL)
zauberisch		
Taubheit, Verhärtung, Verstocktheit		
Verstocktheit, Verhärtung, Taubheit		
