ID	Form_ID	Segments	Prosody	Meaning
153	Gothic-153_eigentumbesitzhabegut-1	ɛ h t s	VCCC	Eigentum, Besitz, Habe, Gut
154	Gothic-154_pferdedorndornstrauch-1	ɛ ʍ a t u n d ɪ	VCVCVCCV	Pferdedorn, Dornstrauch
155	Gothic-1042_pferderune-1	ɛ ʍ s	VCC	Pferd, eRune
156	Gothic-156_sprechen-1	ɛ k a n	VCVC	sprechen
157	Gothic-157_kirchegotteshausgemeinde-1	ɛ kː l e s j o	VCCVCCV	Kirche, Gotteshaus, Gemeinde
158	Gothic-158_eiche-1	ɛ k s	VCC	Eiche
159	Gothic-159_eloimeingott-1	ɛ l o e	VCVV	eloi, mein Gott
160	Gothic-160_eingeboren-1	ɛ n a β ɔ r	VCVCVC	eingeboren
161	Gothic-161_einzig-1	ɛ n a h a	VCVCV	einzig
162	Gothic-162_vereinzeltalleinstehendeinzeln-1	ɛ n a k l̥ s	VCVCVC	vereinzelt, alleinstehend, einzeln
163	Gothic-163_einheiteinmutigkeit-1	ɛ n a m u n d ɪ θ a	VCVCVCCVCV	Einheit, Einmütigkeit
164	Gothic-3344_einmutig-1	ɛ n a m u n d s	VCVCVCCC	einmütig
165	Gothic-165_einfaltig-1	ɛ n ɸ a l θ a β a	VCCVCCVCV	einfältig
166	Gothic-166_einfalteinfachheit-1	ɛ n ɸ a l θ i	VCCVCCV	Einfalt, Einfachheit
167	Gothic-167_einfacheinfaltig-1	ɛ n ɸ a l θ s	VCCVCCC	einfach, einfältig
168	Gothic-168_einjeder-1	ɛ n ʍ a r j ɪ z u h	VCCVCCVCVC	ein jeder
169	Gothic-2303_jedervonbeiden-1	ɛ n ʍ a θ a r u h	VCCVCVCVC	jeder von beiden
170	Gothic-3862_elf-1	ɛ n l ɪ ɸ	VCCVC	elf
171	Gothic-171_einalleinigeineinzigereingewisserirgendeineinmal-1	ɛ n s	VCC	ein, alleinig, ein einziger, ein gewisser, irgendein, einmal
172	Gothic-172_irgendeinjederniemand-1	ɛ n s h u n	VCCCVC	irgendein, jeder, niemand
173	Gothic-173_bischofsamt-1	ɛ p ɪ s k ɔ p i	VCVCCVCV	Bischofsamt
174	Gothic-174_bischof-1	ɛ p ɪ s k ɔ p u s	VCVCCVCVC	Bischof
175	Gothic-175_brief-1	ɛ p ɪ s t ɔ l e	VCVCCVCV	Brief
176	Gothic-176_fruh-1	ɛ r	VC	früh
177	Gothic-177_gesandtersein-1	ɛ r ɪ n o n	VCVCVC	Gesandter sein
178	Gothic-178_langsteherfruher-1	ɛ r ɪ s	VCVC	längst, eher, früher
179	Gothic-179_vorfahre-1	ɛ r ɪ z a	VCVCV	Vorfahre
180	Gothic-4653_heilig-1	ɛ r k n ɪ s	VCCCVC	heilig
181	Gothic-181_lauterkeitechtheitreinheit-1	ɛ r k n ɪ θ a	VCCCVCV	Lauterkeit, Echtheit, Reinheit
182	Gothic-4653_heilig-2	ɛ r k n̥ s	VCCVC	heilig
183	Gothic-183_grogewaltig-1	ɛ r m a n s	VCCVCC	groß, gewaltig
184	Gothic-184_erdelanderdreicherdboden-1	ɛ r θ a	VCCV	Erde, Land, Erdreich, Erdboden
185	Gothic-185_vonirdischerabkunftvondererdestammendirdisch-1	ɛ r θ a k u n d s	VCCVCVCCC	von irdischer Abkunft, von der Erde stammend, irdisch
186	Gothic-186_irdischirden-1	ɛ r θ i n s	VCCVCC	irdisch, irden
187	Gothic-187_botegesandtschaftabgesandter-1	ɛ r u s	VCVC	Bote, Gesandtschaft, Abgesandter
188	Gothic-188_irreirrlehreirrtum-1	ɛ r z i	VCCV	Irre, Irrlehre, Irrtum
189	Gothic-189_irregefuhrtirreverfuhrt-1	ɛ r z i s	VCCVC	irre geführt, irre, verführt
190	Gothic-190_irrlehreirreirrtum-1	ɛ r z ɪ θ a	VCCVCV	Irrlehre, Irre, Irrtum
191	Gothic-191_irrefuhrenirremachenverfuhrenverfuhrer-1	ɛ r z j a n	VCCCVC	irreführen, irre machen, verführen, Verführer
192	Gothic-192_fragenfordern-1	ɛ s k o n	VCCVC	fragen, fordern
193	Gothic-193_sichscheuenvor-1	ɛ s t a n	VCCVC	sich scheuen vor
194	Gothic-194_mutter-1	ɛ θ i	VCV	Mutter
195	Gothic-195_eid-1	ɛ θ s	VCC	Eid
196	Gothic-196_oderwonichtsonstwenigstens-1	ɛ θː ɔ	VCV	oder, wo nicht, sonst, wenigstens
197	Gothic-197_immerjederzeit-1	ɛ w	VC	immer, jederzeit
198	Gothic-201_evangeliumfrohebotschaft-1	ɛ w a ŋ ɡ e l ɪ	VCVCCVCV	Evangelium, frohe Botschaft
199	Gothic-199_evangelist-1	ɛ w a ŋ ɡ e l ɪ s t a	VCVCCVCVCCV	Evangelist
200	Gothic-200_dasevangeliumverkunden-1	ɛ w a ŋ ɡ e l j a n	VCVCCVCCVC	das Evangelium verkünden
201	Gothic-201_evangeliumfrohebotschaft-2	ɛ w a ŋ ɡ e l j o	VCVCCVCCV	Evangelium, frohe Botschaft
202	Gothic-213_ewig-1	ɛ w i n s	VCVCC	ewig
203	Gothic-203_schandeschmach-1	ɛ w ɪ s k ɪ	VCVCCV	Schande, Schmach
204	Gothic-204_schandlichhandeln-1	ɛ w ɪ s k o n	VCVCCVC	schändlich handeln
205	Gothic-205_schandlich-1	ɛ w ɪ s k s	VCVCCC	schändlich
206	Gothic-206_segenspende-1	ɛ w l ɔ ɣ ɪ a	VCCVCVV	Segen, Spende
207	Gothic-207_zeitewigkeit-1	ɛ w s	VCC	Zeit, Ewigkeit
208	Gothic-208_dankdanksagung-1	ɛ w χ a r ɪ s t ɪ a	VCCVCVCCVV	Dank, Danksagung
209	Gothic-209_erzerzmunze-1	ɛ z	VC	Erz, Erzmünze
210	Gothic-210_scheuachtungehre-1	ɛ z a	VCV	Scheu, Achtung, Ehre
211	Gothic-211_erzschmiedmetallarbeiter-1	ɛ z a s m ɪ θ a	VCVCCVCV	Erzschmied, Metallarbeiter
212	Gothic-212_ewigkeit-1	a j u k d u θ s	VCVCCVCC	Ewigkeit
213	Gothic-213_ewig-2	a j u k s	VCVCC	ewig
214	Gothic-214_sondernabergeh-1	a k	VC	sondern, aber, geh
215	Gothic-215_gehenfahrenziehen-1	a k a n	VCVC	gehen, fahren, ziehen
216	Gothic-216_aber-1	a k i	VCV	aber
217	Gothic-217_essig-1	a k e t	VCVC	Essig
218	Gothic-218_fruchtertrag-1	a k r a n	VCCVC	Frucht, Ertrag
219	Gothic-219_kornlosfruchtlosunfruchtbar-1	a k r a n a l ɔ s	VCCVCVCVC	kornlos, fruchtlos, unfruchtbar
220	Gothic-220_acker-1	a k r̥ s	VCVC	Acker
221	Gothic-221_allganzvollig-1	a l a	VCV	all, ganz, völlig
222	Gothic-222_salbenbuchse-1	a l a β a l s t r ɔ n	VCVCVCCCCVC	Salbenbüchse
223	Gothic-223_brandopfer-1	a l a β r u n s t s	VCVCCVCCCC	Brandopfer
224	Gothic-224_gesamt-1	a l a k j ɪ s	VCVCCVC	gesamt
225	Gothic-225_insgesamtgesamtzusammen-1	a l a k j o	VCVCCV	insgesamt, gesamt, zusammen
226	Gothic-226_gesamtheitdermenschenallemenschen-1	a l a m a n s	VCVCVCC	Gesamtheit der Menschen, alle Menschen
227	Gothic-227_wachsensichnahrenaufwachsen-1	a l a n	VCVC	wachsen, sich nähren, aufwachsen
228	Gothic-228_alldarbendanallemmangelleidendganzarm-1	a l a θ a r b a	VCVCVCCV	alldarbend, an allem Mangel leidend, ganz arm
229	Gothic-229_allodvollgutgut-1	a l ɔ ð s	VCVCC	Allod, Vollgut, Gut
230	Gothic-230_albdamon-1	a l b s	VCCC	Alb, Dämon
231	Gothic-3419_alt-1	a l d a	VCCV	alt
232	Gothic-1085_alter-1	a l d o m o	VCCVCV	Alter
233	Gothic-1085_alter-2	a l d r̥	VCCC	Alter
234	Gothic-234_menschenalterzeit-1	a l d s	VCCC	Menschenalter, Zeit
235	Gothic-3419_alt-2	a l d u m a	VCCVCV	alt
236	Gothic-236_elle-1	a l i n a	VCVCV	Elle
237	Gothic-239_ol-1	a l e w	VCVC	Öl
238	Gothic-238_olbaum-1	a l e w a β a ɣ m̥ s	VCVCVCVCVC	Ölbaum
239	Gothic-239_ol-2	a l e w j a	VCVCCV	Öl
240	Gothic-240_gott-1	a l h	VCC	Gott
241	Gothic-241_tempelhain-1	a l h s	VCCC	Tempel, Hain
242	Gothic-259_andere-1	a l ɪ	VCV	andere
243	Gothic-247_erle-1	a l ɪ s ɪ	VCVCV	Erle
244	Gothic-1033_ahle-1	a l ɪ s n a	VCVCCV	Ahle
245	Gothic-247_erle-2	a l ɪ s o	VCVCV	Erle
246	Gothic-246_gemastet-1	a l ɪ θ s	VCVCC	gemästet
247	Gothic-247_erle-3	a l ɪ z a	VCVCV	Erle
248	Gothic-248_auer-1	a l j a	VCCV	außer
249	Gothic-249_anderswoherstammendgegendienaturvoneinemanderengeschlechtvonfremderabkunftfremd-1	a l j a k u n s	VCCVCVCC	anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder Abkunft, fremd
250	Gothic-422_anders-1	a l j a l i k o	VCCVCVCV	anders
251	Gothic-251_andersgebildetallegorischbildlichandersgemeint-1	a l j a l i k o θ s	VCCVCVCVCC	anders gebildet, allegorisch, bildlich, anders gemeint
252	Gothic-259_andere-2	a l j a l i k s	VCCVCVCC	andere
253	Gothic-253_masten-1	a l j a n	VCCVC	mästen
254	Gothic-254_eifer-1	a l j a n	VCCVC	Eifer
255	Gothic-255_eiferneifernfur-1	a l j a n o n	VCCVCVC	eifern, eifern für
256	Gothic-256_anderswo-1	a l j a r	VCCVC	anderswo
257	Gothic-257_anderswohin-1	a l j a θ	VCCVC	anderswohin
258	Gothic-258_anderswoher-1	a l j a θ r o	VCCVCCV	anderswoher
259	Gothic-259_andere-3	a l j ɪ s	VCCVC	andere
260	Gothic-260_vollig-1	a lː a n d j ɪ s	VCVCCCVC	völlig
261	Gothic-261_volligvollstandigganzundgar-1	a lː a n d j o	VCVCCCV	völlig, vollständig, ganz und gar
262	Gothic-262_vonallenseiten-1	a lː a θ r o	VCVCCV	von allen Seiten
263	Gothic-263_allwirkendvollkommen-1	a lː a w ɔ r s t w a	VCVCVCCCCV	allwirkend, vollkommen
264	Gothic-264_redlichkeit-1	a lː a w e r i	VCVCVCV	Redlichkeit
265	Gothic-265_redlich-1	a lː a w e r i s	VCVCVCVC	redlich
266	Gothic-266_uberhauptdenn-1	a lː ɪ s	VCVC	überhaupt, denn
267	Gothic-267_alljederganzviel-1	a lː s	VCC	all, jeder, ganz, viel
268	Gothic-268_allmachtigallmachtigerallwaltender-1	a lː w a l d a n d s	VCCVCCVCCC	allmächtig, Allmächtiger, Allwaltender
269	Gothic-269_alternaltwerden-1	a l θ a n	VCCVC	altern, alt werden
270	Gothic-3419_alt-3	a l θ i s	VCCVC	alt
271	Gothic-271_tapfertatig-1	a m a l s	VCVCC	tapfer, tätig
272	Gothic-272_amen-1	a m e n	VCVC	amen
273	Gothic-273_schulter-1	a m s	VCC	Schulter
274	Gothic-274_dennnun-1	a n	VC	denn, nun
275	Gothic-275_daraufauerdemanaufinuber-1	a n a	VCV	darauf, außerdem, an, auf, in, über
276	Gothic-276_ahnevorfahre-1	a n a	VCV	Ahne, Vorfahre
277	Gothic-277_hinzufugenzufortfahren-1	a n a ɔ k a n	VCVVCVC	hinzufügen zu, fortfahren
278	Gothic-278_entbietenbefehlenanordnen-1	a n a β ɪ u ð a n	VCVCVVCVC	entbieten, befehlen, anordnen
279	Gothic-279_gebotbefehl-1	a n a β u s n̥ s	VCVCVCVC	Gebot, Befehl
280	Gothic-280_antrinkenbetrinken-1	a n a ð r ɪ ŋ k a n	VCVCCVCCVC	antrinken, betrinken
281	Gothic-281_anvertrautesempfehlunguberlieferung-1	a n a ɸ ɪ l h	VCVCVCC	Anvertrautes, Empfehlung, Überlieferung
282	Gothic-282_ubergebenuberliefernverpachtenempfehlenanempfehlengeben-1	a n a ɸ ɪ l h a n	VCVCVCCVC	übergeben, überliefern, verpachten, empfehlen, anempfehlen, geben
