Gothic	Meaning
agls	schimpflich
agluba	schwer, schwerlich
aglus	schwierig
agra	scharf, spitz
ags	furchtsam, ängstlich
aha	Sinn, Verstand
ahaks	zahme weiße Taube, Taube
ahana	Spreu
ahjan	meinen
ahma	Geist
ahmateins	Eingebung, Inspiration
ahmatjan	eingeben
ahmeins	geistig, geistlich
ahs	Ähre
ahs	verständig, besonnen
ahsa	Achse, Achsel, aRune
ahtau	acht
ahtaudōgs	achttägig
ahtautaihun	achtzehn
ahtautēhund	achtzig
ahtuda	achte
aƕa	Fluss, Gewässer
aids	Feuer, Brand
aíffaþa	öffne dich
aifrs	schrecklich
aigan	haben
aigin	Eigentum, Vermögen
aiginōn	aneignen
aigins	eigen
aihtr	Klage, Bitte
aihtrōn	beten, betteln, erbitten, für sich verlangen
aihtrōns	Bitte, Gebet
aihts	Eigentum, Besitz, Habe, Gut
aíƕatundi	Pferdedorn, Dornstrauch
aíƕs	Pferd, eRune
aikan	sprechen
aíkklesjō	Kirche, Gotteshaus, Gemeinde
aiks	Eiche
aílōe	eloi, mein Gott
ainabaúr	eingeboren
ainaha	einzig
ainakls	vereinzelt, alleinstehend, einzeln
ainamundiþa	Einheit, Einmütigkeit
ainamunds	einmütig
ainfalþaba	einfältig
ainfalþei	Einfalt, Einfachheit
ainfalþs	einfach, einfältig
ainƕarjizuh	ein jeder
ainƕaþaruh	jeder von beiden
ainlif	elf
ains	ein, alleinig, ein einziger, ein gewisser, irgendein, einmal
ainshun	irgendein, jeder, niemand
aípiskaúpei	Bischofsamt
aípiskaúpus	Bischof
aípistaúle	Brief
air	früh
airinōn	Gesandter sein
airis	längst, eher, früher
airiza	Vorfahre
aírknis	heilig
aírkniþa	Lauterkeit, Echtheit, Reinheit
aírkns	heilig
airmans	groß, gewaltig
aírþa	Erde, Land, Erdreich, Erdboden
aírþakunds	von irdischer Abkunft, von der Erde stammend, irdisch
aírþeins	irdisch, irden
airus	Bote, Gesandtschaft, Abgesandter
aírzei	Irre, Irrlehre, Irrtum
aírzeis	irre geführt, irre, verführt
aírziþa	Irrlehre, Irre, Irrtum
aírzjan	irreführen, irre machen, verführen, Verführer
aiskōn	fragen, fordern
aistan	sich scheuen vor
aiþei	Mutter
aiþs	Eid
aíþþau	oder, wo nicht, sonst, wenigstens
aiw	immer, jederzeit
aíwaggēli	Evangelium, frohe Botschaft
aíwaggēlista	Evangelist
aíwaggēljan	das Evangelium verkünden
aíwaggēljō	Evangelium, frohe Botschaft
aiweins	ewig
aiwiski	Schande, Schmach
aiwiskōn	schändlich handeln
aiwisks	schändlich
aíwlaúgia	Segen, Spende
aiws	Zeit, Ewigkeit
aíwxaristia	Dank, Danksagung
aiz	Erz, Erzmünze
aiza	Scheu, Achtung, Ehre
aizasmiþa	Erzschmied, Metallarbeiter
ajukdūþs	Ewigkeit
ajuks	ewig
ak	sondern, aber, geh
akan	gehen, fahren, ziehen
akei	aber
akēt	Essig
akran	Frucht, Ertrag
akranalaus	kornlos, fruchtlos, unfruchtbar
akrs	Acker
ala	all, ganz, völlig
alabalstraún	Salbenbüchse
alabrunsts	Brandopfer
alakjis	gesamt
alakjō	insgesamt, gesamt, zusammen
alamans	Gesamtheit der Menschen, alle Menschen
alan	wachsen, sich nähren, aufwachsen
alaþarba	alldarbend, an allem Mangel leidend, ganz arm
alauds	Allod, Vollgut, Gut
albs	Alb, Dämon
alda	alt
aldōmō	Alter
aldr	Alter
alds	Menschenalter, Zeit
alduma	alt
aleina	Elle
alēw	Öl
alēwabagms	Ölbaum
alēwja	Öl
alh	Gott
alhs	Tempel, Hain
ali	andere
alisi	Erle
alisna	Ahle
alisō	Erle
aliþs	gemästet
aliza	Erle
alja	außer
aljakuns	anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder Abkunft, fremd
aljaleikō	anders
aljaleikōþs	anders gebildet, allegorisch, bildlich, anders gemeint
aljaleiks	andere
aljan	mästen
aljan	Eifer
aljanōn	eifern, eifern für
aljar	anderswo
aljaþ	anderswohin
aljaþrō	anderswoher
aljis	andere
allandjis	völlig
allandjō	völlig, vollständig, ganz und gar
allaþrō	von allen Seiten
allawaúrstwa	allwirkend, vollkommen
allawērei	Redlichkeit
allawēreis	redlich
allis	überhaupt, denn
alls	all, jeder, ganz, viel
allwaldands	allmächtig, Allmächtiger, Allwaltender
alþan	altern, alt werden
alþeis	alt
amals	tapfer, tätig
amen	amen
ams	Schulter
an	denn, nun
ana	darauf, außerdem, an, auf, in, über
ana	Ahne, Vorfahre
anaaukan	hinzufügen zu, fortfahren
anabiudan	entbieten, befehlen, anordnen
anabūsns	Gebot, Befehl
anadrigkan	antrinken, betrinken
anafilh	Anvertrautes, Empfehlung, Überlieferung
anafilhan	übergeben, überliefern, verpachten, empfehlen, anempfehlen, geben
anagaggan	kommen, künftig sein
anahaban	besitzen, innehaben
anahaimeis	in der Heimat befindlich, daheim, zuhause
anahaitan	anrufen, bitten, schelten
anahamōn	die Bekleidung anlegen, anziehen
anahaspan	aufhaspeln
anahnaiwjan	niederlegen
anahneiwan	sich niederbeugen, sich neigen, sich bücken
anaƕeilan	beruhigen, erquicken
anainsakan	auferlegen, hinzufügen
anakaúrjan	beschweren
anaks	plötzlich, sogleich
anakumbjan	sich niederlegen, zu Tisch legen, lagern
anakunnains	Lesung
anakunnan	lesen
analageins	Auflegung
analagjan	einlegen, auflegen, beibringen
analatjan	verhindern, hindern, aufhalten, abhalten
analaugnei	Verborgenheit
analaugniba	im geheimen, heimlich, verborgen
analaugns	verborgen
analeikō	auf gleiche Weise, gleichermaßen
analeiks	ähnlich, gleich
anamahtjan	vergewaltigen, rauben, kränken, quälen, erpressen, misshandeln, beleidigen, schmähen, Gewalt antun, Unrecht antun
anamahts	Übermacht, Misshandlung
anamēljan	aufschreiben, sich in die Steuerlisten eintragen lassen
anaminds	versteckte Meinung, Vermutung
anan	atmen, hauchen
ananamnjan	benennen, nennen, rufen
anananþjan	Mut fassen, sich erkühnen, wagen
ananauþjan	durch Zwang veranlassen, nötigen, zwingen
ananiujan	erneuern, sich erneuern, erneuert werden
ananiujiþa	Erneuerung
anapraggan	bedrängen, bedrücken
anaqal	Ruhe, Beruhigung
anaqilan	zur Ruhe kommen
anaqiman	hinzutreten zu, hinzukommen
anaqiss	Lästerung, Schmährede
anaqiþan	verleumden, verlästern, schmähen
anaqiujan	beleben, erwecken, lebendig machen
anasilan	still werden, nachlassen, verstummen
anasiuniba	sichtbar
anasiuns	sichtbar
anaslawan	verstummen, still werden
anaslēpan	einschlafen, entschlummern, entschlafen
anastōdeins	Anfang
anastōdjan	anfangen, anheben, beginnen
anatimrjan	aufzimmern, daraufbauen, aufbauen
anatjan	zwingen
anatrimpan	bedrängen, drängen, hinzutreten, zudrängen
anaþaíma	Fluch, Verfluchter
anaþiwan	unterjochen, in Dienstbarkeit bringen, dienstbar machen
anaþrafstjan	trösten, erquicken
anawaírþs	zukünftig
anawammjan	beflecken, tadeln
anawiljei	Billigkeit, Ehrbarkeit
anawiljis	ehrbar, redlich
and	entlang, über ... hin, auf ... hin
anda	Ende
andabaúhts	Gegenkauf, Lösegeld
andabeit	Tadel
andahafts	Antwort, Verteidigung
andahait	Bekenntnis
andalauni	Gegenlohn, Vergeltung
andanahti	Abend
andaneiþa	feindlich
andaneiþs	widrig, entgegengesetzt, feindlich, im Gegenteil
andanēm	Entgegennahme, Empfang, Empfangen, Annahme
andanēmeigs	entgegennehmend, festhaltend
andanēms	angenehm
andanumts	Annahme, Aufnahme, Erhebung
andasēts	verabscheuenswert, verabscheuenswürdig
andastaþjis	Entgegenstehender, Widersacher
andastaua	Gegner vor Gericht, Widersacher
andaþāhts	nüchtern, verständig, vernünftig
andaugi	Antlitz, Gesicht
andaugiba	offen, freimütig
andaugjō	offen, offenbar, öffentlich
andawaírþi	Gegenwert, Preis
andawaúrdi	Antwort
andawizns	Notdurft, Unterhalt, Sold
andawleizn	Angesicht, Antlitz, Gesicht
andawliti	Antlitz, Gesicht, Angesicht
andbahti	Amt, Dienst
andbahtjan	leisten, dienen, besorgen, darreichen
andbahts	Diener
andbeitan	schelten, bedrohen, in Verlegenheit geraten, tadeln, anfahren
andbindan	entbinden, lösen, auflösen, erklären, losbinden
andbundnan	entbunden werden, gelöst werden
andeis	Ende
andhafjan	erwidern, antworten, entgegnen
andhaitan	bekennen, preisen, erklären
andhamōnsik)	entkleiden, ausziehen
andhausjan	gehorchen, erhören, erhört werden
andhruskan	nachforschen, prüfen, untersuchen
andhuleins	Enthüllung, Offenbarung
andhuliþs	enthüllt, unverhüllt
andhuljan	enthüllen, abdecken, entblößen, offenbaren
andi	Geist
andilaus	endlos
andizuh	anders, sonst, entweder
andjan	enden, endigen
andlētan	entlassen
andlētnan	scheiden, abscheiden, entlassen werden, aufgelöst werden, sich auflösen, sich losmachen
andniman	annehmen, aufnehmen, genießen, empfangen, wieder empfangen, erhalten
andqiþan	entsagen, Abschied nehmen, entlassen, zusammenkommen mit, sprechen mit, sprechen, Lebewohl sagen
andrinnan	entgegenrennen, streiten
andsaíƕan	auf etwas sehen, berücksichtigen, achtgeben, ansehen, in Betracht ziehen, beachten
andsakan	widersprechen, bekämpfen, bestreiten
andsakans	bestritten
andsaljan	darbringen, opfern
andsitan	scheuen, Rücksicht nehmen
andsōks	widerleglich, bestreitbar
andspeiwan	entgegenspeien, ausspeien, verachten, verwerfen
andstald	Darbietung, Beistand, Darreichung
andstaldan	versehen, darreichen
andstandan	entgegenstehen, widerstehen, widerstreiten, widerstreben
andstaúrran	Unwillen zeigen, widerspenstig sein, anstarren, murren
andtilōn	anhangen, sich annehmen, dienen, helfen, beistehen
andþagkjansik)	einfallen, erinnern, gedenken, sich besinnen, überlegen, bedenken, sich entsinnen
andwaírþi	Gegenwart, Angesicht, Person, Gesicht
andwaírþis	gegenüber
andwaírþō	sofort
andwaírþs	gegenwärtig
andwasjan	entkleiden
andwaúrdjan	widersprechen, antworten
andweihan	widerstreiten, ankämpfen, entgegenkämpfen
anetiare	zwingen
annō	Sold, Kosten
ans	Balken
ans	Götter
anses	Halbgötter
ansteigs	gnädig, günstig
ansts	Freude, Dank, Gnade, Gunst, Gnadengabe
ansula	kleiner Ase, kleiner Gott
ansus	Ase, Gott
ant	Riese
anþar	andere, zweite
anþarleikei	Verschiedenheit
anþarleikō	anders
anþarleiks	verschieden
anþs	Spitze, Ende
anþs	Geist, Seele
apaústaúlei	Apostolat
apaústaúlus	Apostel, Bote, Abgesandter
apls	Apfel
aqizi	Axt
ara	Aar, Adler
Arabia	Arabien
arbaidjan	arbeiten, dulden, kämpfen für
arbaiþs	Arbeit, Drangsal, Hemmung, Bedrängnis
arbi	Erbe, Erbschaft
arbinumja	Erbnehmer, Erbe
arbja	Erbe
arbjō	Erbin
arca	Grenzwall
areinsdags	Dienstag
arga	Feigling, Elender
args	feige, elend
arh	Pfeil
arha	Pfeil
arƕa	Pfeil
arƕazna	Pfeil
arjan	pflügen, ackern
arjausdags	Dienstag
arka	Arche, Kasten, Futteral, Beutel, Geldkasten
arkaggilus	Erzengel
armahaírtei	Barmherzigkeit
armahaírtiþa	Almosen, Barmherzigkeit
armahaírts	barmherzig
armaiō	Barmherzigkeit, Almosen
arman	sich erbarmen, bemitleiden
arms	arm, beklagenswert, bemitleidenswert
arms	Arm
arneis	sicher
arniba	sicher, gewiss
arōmata	Spezereien, Gewürze
arþ	Wohnsitz, Aufenthalt
arus	bereit, flink
arwjō	umsonst, unentgeltlich, ohne Ursache, vergebens
asans	Sommer, Erntezeit, Ernte
Asia	Asien
asiluqaírnus	Eselsmühle, Mühlstein
asilus	Esel, Eselin
aska	Äsche
asks	Esche, Speer
asneis	Mietling, Tagelöhner
asnō	Lohn, Zins
aspa	Espe
assarjus	Ass
astaþ	Sicherheit, Gewissheit
asts	Ast, Streu von Laub, Zweig, Palmzweig
at	von, bei, an, zu, unter, auf
ataþni	Jahr
ataugjan	zeigen, erscheinen
atbaíran	bringen, herbeibringen, darbringen, hinzutragen
atdragan	herunterziehen
atdriusan	fallen in, zufallen, fallen
atfarjan	einlaufen, landen
atgagg	Zugang
atgaggan	hinzugehen, kommen, hinzukommen
atgāhts	Eingang
atgāhts	zugänglich
atgaraíhtjan	vollends in Ordnung bringen, wiederherstellen, einrichten
atgiban	hingeben, übergeben, geben, darreichen
athabansikdu)	anhalten, nähern
athafjan	herabheben, herabnehmen
athāhan	hinabhängen, hinablassen, hinunterlassen, niederlassen
athaitan	herzurufen
atisk	Saat, Saatfeld
atjan	essen lassen
atkunnan	gewähren, zuerkennen
atlagjan	hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen
atlaþōn	berufen
atlēweins	Verrat
atlēweis	Verräter
atligan	dabeiliegen, vorliegen, vorhanden sein
atnēƕjan	herannahen
atniman	aufnehmen, versetzen, annehmen
atochta	schlecht
atrinnan	hinzulaufen, hinzurennen
atsaíƕan	sehen auf, sich in Acht nehmen, sich hüten
atsatjan	darstellen
atsnarpjan	anfassen, anrühren, berühren, angreifen
atsniwan	hinzueilen
atstandan	dabeistehen, eintreten, hinzukommen, hinzutreten, zugegen sein
atsteigan	hinabsteigen
atta	Vater, Vorfahre
attēkan	berühren, anrühren
attiuhan	herbeiziehen, herbeiführen, herbeibringen, hereinführen, bringen
atþinsan	heranziehen, herbeiziehen, herzuziehen
atugs	schlecht
atwaírpan	hinwerfen, hinstrecken, werfen
atwalwjan	hinzuwälzen, hinwälzen
atwandjan	zuwenden, zurückkehren
atwisan	da sein, zur Hand liegen
atwitains	Beobachten, Beobachtung, Wahrnehmung
atwitan	beobachten
atwōpjan	herbeirufen
aþal	Adel
aþals	edel
aþans	edel
aþn	Jahr
aþþan	aber doch, aber ja, aber nun, denn, also, nun, und
audagei	Seligkeit
audagjan	selig preisen
audags	vom Schicksal begabt, selig
audahafts	beglückt, begnadigt, beseligt, selig
audsauþs	Habe, Gut
aúftō	allerdings, wohl, vielleicht, etwa
augadaúrō	Augentür, Fenster
augjan	zeigen
augō	Auge
áuhjōdus	Lärm
auhjōn	lärmen, schreien
aúhns	Ofen
aúhsa	Ochse, Rind
aúhsus	Ochse, Rind
aúhuma	höher, erhaben, vorzüglicher
auja	Glück
auk	denn, nämlich, aber, auch, und
aukan	sich mehren, sich vermehren
auknan	sich mehren, dargebracht werden
aur	Sand, Kies
aur	Meer
aurahi	Grabdenkmal, Grab, Grabmal
aurahs	sandig, kiesig
aúrāli	Schweißtuch
aúrkeis	Krug
aúrtigards	Garten
aúrtja	Landmann, Winzer
aúrts	Garten
aus	weibliches Schaf, Mutterschaf
aus	glänzend, hell, morgendlich
ausahriggs	Ohrring
ausō	Ohr
austra	Osten
Austrogoti	Ostgoten
auþeis	öde, kinderlos, unfruchtbar, wüst, verlassen
auþida	Wüste, Einöde
awa	Großvater
awēþi	Schafherde
awi	Au
awi	Glück, göttlicher Schutz
awi	gut
awiliudōn	danken, preisen
awiliuþ	Dank, Danksagung, Gnade
awistr	Schafstall
awō	Großmutter
aza	aRune
azētaba	leicht, gern
azēti)	Leichtigkeit, Vergnügen, Lust, Annehmlichkeit, zRune
azēts	leicht, erträglich
azgō	Asche
azwmus	ungesäuertes Brot
b	b, Abkürzung für 2
ba	wenn
badi	Bett
badu	Kampf
baggwiþa	Wohnung
bagks	Bank
bagms	Baum
bai	beide
bai	wenn
baidjan	zwingen, nötigen
baira	Bär
baírabagms	Maulbeerbaum
baíran	tragen, leiden, erleiden, gebären, ertragen
baírga	Berge
baírgahei	Gebirgsgegend, Berggegend, Gebirge
baírgahs	bergig, gebirgig
baírgan	bergen, bewahren, erhalten
bairgō	Berge
baírgs	Berg
baírhtaba	hell, glänzend, deutlich, offen
baírhtei	Helle, Offenbarung, Klarheit, Verkündigung
baírhteins	Erscheinung
baírhtjan	offenbaren
baírhts	hell, offenbar, deutlich
baírka	Birke
baitraba	bitter
baitrei	Bitterkeit
baitrs	bitter
bajōþs	beide
bala	Pferd mit Blesse
balgbrust)	Balgbersten
balgs	Balg, Schlauch, Tasche
bals	weiß
balsan	Salbe, Balsam
balþaba	kühn, freimütig
balþei	Kühnheit, Freimut, Freimütigkeit, Unerschrockenheit
balþjan	kühn sein, wagen
balþs	geschwollen, kühn
balu	Unglück, Übel
balus	böse, übel
balwaweis	böse, übel
balwawēsei	Bosheit
balweins	Pein, Strafe, Folter, Qual
balwjan	martern, quälen, plagen
bandi	Band
bandja	Gefangener, Gebundener
bandwa	Zeichen
bandwjan	ein Zeichen geben, Wink geben, andeuten, bezeichnen
bandwō	Zeichen, verabredetes Zeichen
banja	Schlag, Wunde, eiternde Wunde, Geschwür
bannwīda	Bannweite
bansts	Scheuer, Scheune
bara	Mann
barbarus	Nichtgrieche, Barbar, Ausländer, Fremder
bards	Bart
bards	Riese
baris	Gerste
barizeins	von Gerste bereitet, gersten, Gersten...
barms	Busen, Schoß, Brust
barn	Kind
barnahs	bekindet
barnilō	Kindlein, Kindchen, Knäblein
barniskei	kindliches Wesen, Kinderei
barniski	Kindheit
barnisks	kindlich, kindisch
barsiks	Barsch
barusnjan	fromm verehren, verehren, kindlich ehren
bas	bar, bloß
basi	Beere
bata	Nutzen, Vorteil
batis	gut, bessere
batiza	bessere
batnan	besser werden
báuains	Wohnung
báuan	wohnen, bewohnen
baudes	Gebieter
baugjan	fegen
baugs	Ring
bauljan	blasen
bauljō	Blase, Beule
baúr	Geborener
baúrans	geboren
baúrd	Brett
baúrd	Bord, Rand
baúrgja	Bürger
baúrgjan	bergen
baúrgs	Turm, Burg, Stadt
baúrgswaddjus	Stadtmauer
baúrjōþus	Lust
baurs	Wind
baúrsti	Bürste
baurtils	Bürzel
baúrþei	Bürde, Last
baúrþs	getragen
bausei	Bosheit, List, Betrug
bautan	stoßen, schlagen, werfen
bauþs	stumm, taub, dumm, dumpf
bawiþa	Hütte, Bau
bazjan	leeren, entkräften, entblößen
bēga	Streit
beidan	warten, erwarten
beist	Sauerteig, Biestmilch
beistei	Gesäuertes, Gesäuertsein
beistjan	säuern
beistjōþs	gesäuert
beitan	beißen
bel	Streitaxt, Bär
belagines	Recht
bercna	Birkenreis, bRune
bērs	Eber
bērusi	Gebärende, Mutter
bērusjōs	Eltern
bi	um, herum, an, in, innerhalb, inbetreff, über, gemäß, bei, nach, betreffs, zu
biabrjan	außer sich geraten über, sich entsetzen, heftig werden
biarbaidjan	trachten nach, sich bemühen
biaukan	hinzufügen
biauknan	sich vermehren, zunehmen
bibaúrgeins	Lager
bibaúrgjan	bergen, zur Stadt machen, befestigen
bibindan	umbinden, umwickeln
bida	Bitte, Gebet, Aufforderung
bidagwa	Bettler
bidan	bitten
bidjan	bitten, beten, betteln
bidōmjan	verurteilen
bifaih	Übervorteilung
bifaihōn	übervorteilen
bifaihōns	Übervorteilung
bigaírdan	umgürten
bigardio	Gehege, Garten
bigitan	finden, antreffen, auffinden
bigraban	mit einem Graben umgeben
bihait	üble Nachrede
bihaitan	prahlen, verleumden
bihaitja	Prahler, streitsüchtiger Mensch
bihlahjan	verlachen, verspotten, auslachen
biƕaírban	umdrängen
biƕē	woran
bijandzuþþan	zugleich aber auch
bikukjan	mit Küssen bedecken
bilageins	Gesetz
bilagjan	auferlegen
bilaibjan	übriglassen
bilaif	Überrest, Rest
bilaigōn	belecken, ablecken
bilaikan	verspotten
bilaistiþs	aufspürbar, erforscht, begreiflich
bileiban	bleiben
bileiþan	verlassen, zurücklassen, hinterlassen
bilgan	schwellen
bilisa	Bilsenkraut
bimait	Beschneidung
bimaitan	beschneiden
bimampjan	verhöhnen, verspotten
binaúhan	dürfen, erlaubt sein
binda	Binde, Band
bindan	binden
biniman	wegnehmen, stehlen
biniuhsjan	auskundschaften, ausspionieren, ausforschen
biqiman	überfallen
biraubōn	berauben, ausziehen
bireikei	Gefahr
bireikeis	gefährdet
birinnan	umringen, herumlaufen, durchstreifen, umdrängen, umgeben, umherlaufen
birōdeins	Murren, Verleumdung
birōdjan	murrend reden, murren
birūnains	Nachstellung, Anschlag
birūnan	leise sprechen, sich verschwören, beschließen
bisaíƕan	umsehen, ansehen, bemerken, sorgen für, sich vorsehen, erkennen, betrachten
bisatjan	umgeben
bisauleins	Befleckung
bisauljan	besudeln, beflecken
bisaulnan	besudelt werden, befleckt werden, verunreinigt werden
bisitan	herumsitzen, herumwohnen, umwohnen, nahe wohnen
biskaban	schaben, scheren, Haare abschneiden
biskeinan	umleuchten
bismeitan	bestreichen, beschmieren, aufstreichen
bisniwan	zuvorkommen, zuvoreilen
bispeiwan	bespeien, anspeien
bistandan	herumstehen, umringen
bistigqan	anstoßen, anprellen
bistugq	Anstoß
bisunjanē	ringsum
bisuus	geschäftig
biswaírban	abwischen, abtrocknen
biswaran	beschwören
bitiuhan	umherführen, umherziehen, durchziehen, mitführen, durchwandern
biþagkjan	bedenken, überlegen
biþē	nachher, später, während, als, sobald als, nachdem, da
biþragjan	herbeilaufen, vorauslaufen, hinzulaufen
biþwahan	abwaschen, waschen
biudan	bieten, entbieten
biugan	beugen, sich beugen
biūhti	Gewohnheit
biūhts	gewohnt
biuþs	Tisch, Platte
biwaibjan	umwinden, umgeben, umkleiden
biwandjan	vermeiden
biwindan	umwinden, einwickeln, umwickeln, in Windeln wickeln
biwisan	sich erfreuen, sich vergnügen
blagks	weiß, glänzend
blandansik)	sich vermischen mit, mischen
blas	Fackel, Flamme
blauts	bloß
blauþjan	abschaffen, aufheben
blauþs	schwach, kraftlos
bleis	farbig
bleiþei	Wohlwollen, Güte, Mitleid, Erbarmen
bleiþeins	Erbarmen, Mitleid
bleiþjan	barmherzig sein, sich erbarmen, Mitleid hegen
bleiþs	dem Guten zugetan, barmherzig, fromm, gütig, mild, mitleidig
blēsan	blasen
blēsi	Fackel, Feuer
blēsjan	versengen, ätzen
blēstjan	blasen, schnauben
blēsts	Blasen, Schnauben
bliggwan	schlagen
blindjan	blenden
blindnan	erblinden, blind werden
blinds	blind
blōma	Blume, Lilie
blōstr	Opfer
blōstreis	Verehrer
blōtan	verehren, opfern
blōteins	Verehrung
blōtinassus	Verehrung, Gottesverehrung
blōþ	Blut
blōþarinnands	blutflüssig
blunds	blond
bnáuan	zerreiben
boga	Bogen
bōka	Buchstabe, Schrift
bōkāreis	Schriftgelehrter, Schreiber
bōta	Nutzen
bōtjan	nützen, bessern
braƕ	Braue, Zwinkern, Blick
braidei	Breite
braidjan	breiten
braiƕan	strahlen, glänzen
braiþs	breit
brakja	Ringen, Ringkampf, Kampf
bramjan	brüllen
brammōn	brüllen
branda	Feuerbrand, Brand
brands	Brand
brands	Schwert
brannjan	verbrennen
brasa	glühende Kohle
brasōn	braten
brauþ	Brot
breen	schmoren
breuwan	wallen, sieden
bridila	Brettchen, Schemel
brigdil	Zügel
briggan	bringen, führen machen
brikan	brechen, zerstören, kämpfen, ringen, zerbrechen, vernichten
brinnan	brennen
brinnō	Fieber
bristan	bersten, brechen
briþ	Brett
broe	Brot
brōjan	brühen
broks	Hose
brōþar	Bruder
brōþrahans	Brüder
brōþrahs	brüderlich
brōþrulubō	Bruderliebe
brugdjan	schwingen, bewegen
bruka	Brocken
brukja	Brocken
brūkjan	gebrauchen, brauchen, anwenden
bruknan	gebrochen werden
brūks	brauchbar
brunjō	Brustharnisch, Brünne
brunna	Brunnen, Quelle, Born
brūns	braun, glänzend
brunsts	Brennen, Brand
brust	Bersten
brusti	Bürste, Striegel
brustjan	sprossen
brusts	Brust,, Herz, Gemüt
brutilō	Spross
brutōn	knospen
bruts	Knospe
bruþ	Brühe
brūþfaþs	Brautführer, Bräutigam, Hochzeiter, Brautgemach
